urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-24T19:13:29+05:30,MASPOTHA_WL,0.28,100
2019-02-24T19:23:30+05:30,MASPOTHA_WL,0.28,100
2019-02-24T19:33:30+05:30,MASPOTHA_WL,0.28,100
2019-02-24T19:43:30+05:30,MASPOTHA_WL,0.28,100
2019-02-24T19:53:30+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:03:31+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:13:31+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:23:32+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:33:32+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:43:33+05:30,MASPOTHA_WL,0.28,100
2019-02-24T20:53:33+05:30,MASPOTHA_WL,0.28,100
2019-02-24T21:03:33+05:30,MASPOTHA_WL,0.28,100
2019-02-24T21:13:34+05:30,MASPOTHA_WL,0.27,100
2019-02-24T21:23:34+05:30,MASPOTHA_WL,0.29,100
2019-02-24T21:33:34+05:30,MASPOTHA_WL,0.29,100
2019-02-24T21:43:35+05:30,MASPOTHA_WL,0.28,100
2019-02-24T21:53:35+05:30,MASPOTHA_WL,0.29,100
2019-02-24T22:03:35+05:30,MASPOTHA_WL,0.28,100
2019-02-24T22:13:35+05:30,MASPOTHA_WL,0.29,100
2019-02-24T22:23:36+05:30,MASPOTHA_WL,0.29,100
2019-02-24T22:33:36+05:30,MASPOTHA_WL,0.28,100
2019-02-24T22:43:37+05:30,MASPOTHA_WL,0.29,100
2019-02-24T22:53:37+05:30,MASPOTHA_WL,0.29,100
2019-02-24T23:03:37+05:30,MASPOTHA_WL,0.28,100
2019-02-24T23:13:37+05:30,MASPOTHA_WL,0.28,100
2019-02-24T23:23:38+05:30,MASPOTHA_WL,0.28,100
2019-02-24T23:33:38+05:30,MASPOTHA_WL,0.28,100
2019-02-24T23:43:38+05:30,MASPOTHA_WL,0.28,100
2019-02-24T23:53:38+05:30,MASPOTHA_WL,0.28,100
2019-02-25T00:03:39+05:30,MASPOTHA_WL,0.28,100
2019-02-25T00:13:39+05:30,MASPOTHA_WL,0.29,100
2019-02-25T00:23:39+05:30,MASPOTHA_WL,0.28,100
2019-02-25T00:33:39+05:30,MASPOTHA_WL,0.28,100
2019-02-25T00:43:40+05:30,MASPOTHA_WL,0.28,100
2019-02-25T00:53:40+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:03:40+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:13:41+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:23:41+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:33:41+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:43:42+05:30,MASPOTHA_WL,0.28,100
2019-02-25T01:53:42+05:30,MASPOTHA_WL,0.27,100
2019-02-25T02:03:42+05:30,MASPOTHA_WL,0.28,100
2019-02-25T02:13:42+05:30,MASPOTHA_WL,0.28,100
2019-02-25T02:23:43+05:30,MASPOTHA_WL,0.28,100
2019-02-25T02:33:43+05:30,MASPOTHA_WL,0.28,100
2019-02-25T02:43:43+05:30,MASPOTHA_WL,0.28,100
2019-02-25T02:53:43+05:30,MASPOTHA_WL,0.27,100
2019-02-25T03:03:44+05:30,MASPOTHA_WL,0.28,100
2019-02-25T03:13:44+05:30,MASPOTHA_WL,0.28,100
2019-02-25T03:23:44+05:30,MASPOTHA_WL,0.27,100
2019-02-25T03:33:44+05:30,MASPOTHA_WL,0.27,100
2019-02-25T03:43:45+05:30,MASPOTHA_WL,0.27,100
2019-02-25T03:53:45+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:03:45+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:13:45+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:23:46+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:33:46+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:43:46+05:30,MASPOTHA_WL,0.27,100
2019-02-25T04:53:46+05:30,MASPOTHA_WL,0.27,100
2019-02-25T05:03:47+05:30,MASPOTHA_WL,0.27,100
2019-02-25T05:13:47+05:30,MASPOTHA_WL,0.27,100
2019-02-25T05:23:47+05:30,MASPOTHA_WL,0.28,100
2019-02-25T05:33:47+05:30,MASPOTHA_WL,0.27,100
2019-02-25T05:43:48+05:30,MASPOTHA_WL,0.27,100
2019-02-25T05:53:48+05:30,MASPOTHA_WL,0.27,100
2019-02-25T06:03:48+05:30,MASPOTHA_WL,0.28,100
